Book,Chapter,Verse_Range,Source,Notes
Exodus,1,1-5,P,Genealogical introduction
Exodus,1,6,J,Joseph dies
Exodus,1,7,P,Israel multiplies
Exodus,1,8-12,J,New king oppresses
Exodus,1,13-14,P,Hard labor description
Exodus,1,15-2:10,E,Midwives and Moses' birth
Exodus,2,11-23,J,Moses flees and Egyptian encounter
Exodus,2,23b-25,P,God remembers covenant
Exodus,3,1,E,Moses at Horeb with Jethro's flock
Exodus,3,2-4a; 3:5; 3:7-8; 3:16-4:17,J,Burning bush and call narrative
Exodus,3,4b; 3:6; 3:9b-15,E,Alternative call elements
Exodus,4,1-9,J,Signs given to Moses
Exodus,4,10-17,J/E,Objections; Aaron as spokesman intro
Exodus,4,18,E,Departure from Midian
Exodus,4,19-26,J,Journey details; circumcision
Exodus,4,27-6:1,J,Moses and Aaron meet
Exodus,5,1-5,J,First request to Pharaoh
Exodus,5,6-18,J,Taskmasters and straw difficulties
Exodus,5,19-6:1,J,People complain to Moses
Exodus,6,2-9,P,Covenant introduction and promises
Exodus,6,10-12,J/Mixed,Moses complains to God
Exodus,6,13-30,P,Genealogies and Moses/Aaron credentials
Exodus,7,1-13,P,Aaron as spokesman; staff to serpent
Exodus,7,14-18; 7:20b-21a; 7:23-8:4,J,Water plague and frogs (J version)
Exodus,7,19-20a; 7:21b-22,P,Water plague (P version)
Exodus,7,25-8:11,J/E,Frogs and gnats (mixed versions)
Exodus,8,12-15,J,Flies plague
Exodus,8,16-28,J,Gnats/lice and flies mixed account
Exodus,9,1-7,J,Livestock plague
Exodus,9,8-12,P,Boils plague
Exodus,9,13-35,J,Hail plague (extensive account)
Exodus,10,1-20,J,Locusts plague
Exodus,10,21-23,P,Darkness plague
Exodus,11,1-8,J,Tenth plague announcement
Exodus,11,9-12:1,P,Further plague information
Exodus,12,2-51,Multiple,Passover regulation (sources mixed)
Exodus,12,2; 3-27; 40-51,P,Priestly Passover regulations
Exodus,12,12a; 29-36; 37b-39,J,Yahwist Passover narrative
Exodus,13,1-16,J/Mixed,Firstborn consecration
Exodus,13,17-22,J,Wilderness guidance/pillar
Exodus,14,1-29,J/E/P,Sea crossing (complex three-source narrative)
Exodus,14,5-7; 10a; 11-14; 19-20; 21b; 24-25; 27b; 30-31,J,Yahwist crossing
Exodus,14,1-4; 8-9; 10b; 15-18; 21a; 21c-23; 26-27a; 28-29,P,Priestly crossing
Exodus,15,1-18,J,Song of the Sea (ancient poetry)
Exodus,15,20-21,E,Miriam's song
Exodus,15,22a; 23-26,J,Water complaints and sweetening
Exodus,15,27-16:1,P,Journey stages
Exodus,16,1a,P,Wilderness gathering notice
Exodus,16,2-3; 6-21; 22-25; 31-36,Mixed,Manna and quail (multiple sources intertwined)
Exodus,16,4-5; 26-30,J,Yahwist manna narrative
Exodus,17,1a,P,Rephidim notice
Exodus,17,1b-6,J,Water from rock (Horeb version)
Exodus,17,7,J,Name Massah/Meribah
Exodus,17,8-16,E,Amalekites battle
